id,num,gender,gender_label,gender_tj,letter,name_tj,name_cyrillic,name_latin,name_tj_raw,name_cyrillic_raw,name_latin_raw,is_official_permitted,legal_decree,is_enriched,matched_child_name_id,meaning,origin,attributes,history
tj_f_abirafshon_1,1,female,Женский,Духтарона,А,Абирафшон,Абирафшон,Abirafshon,АБИРАФШОН,АБИРАФШОН,ABIRAFSHON,True,"Қарори Ҳукумати Ҷумҳурии Тоҷикистон аз 26 феврали соли 2026, №98",False,,,Тоҷикӣ / Форсӣ,,
tj_f_abondukht_2,2,female,Женский,Духтарона,А,Абондухт,Абондухт,Abondukht,АБОНДУХТ,АБОНДУХТ,ABONDUKHT,True,"Қарори Ҳукумати Ҷумҳурии Тоҷикистон аз 26 феврали соли 2026, №98",False,,,Тоҷикӣ / Форсӣ,,
tj_f_abru_3,3,female,Женский,Духтарона,А,Абру,Абру,Abru,АБРУ,АБРУ,ABRU,True,"Қарори Ҳукумати Ҷумҳурии Тоҷикистон аз 26 феврали соли 2026, №98",False,,,Тоҷикӣ / Форсӣ,,
tj_f_abruvona_4,4,female,Женский,Духтарона,А,Абрувона,Абрувона,Abruvona,АБРУВОНА,АБРУВОНА,ABRUVONA,True,"Қарори Ҳукумати Ҷумҳурии Тоҷикистон аз 26 феврали соли 2026, №98",False,,,Тоҷикӣ / Форсӣ,,
tj_f_abrukamon_5,5,female,Женский,Духтарона,А,Абрукамон,Абрукамон,Abrukamon,АБРУКАМОН,АБРУКАМОН,ABRUKAMON,True,"Қарори Ҳукумати Ҷумҳурии Тоҷикистон аз 26 феврали соли 2026, №98",False,,,Тоҷикӣ / Форсӣ,,
tj_f_abruniso_6,6,female,Женский,Духтарона,А,Абрунисо,Абрунисо,Abruniso,АБРУНИСО,АБРУНИСО,ABRUNISO,True,"Қарори Ҳукумати Ҷумҳурии Тоҷикистон аз 26 феврали соли 2026, №98",False,,,Тоҷикӣ / Форсӣ,,
tj_f_abruhilol_7,7,female,Женский,Духтарона,А,Абруҳилол,Абрухилол,Abruhilol,АБРУҲИЛОЛ,АБРУХИЛОЛ,ABRUHILOL,True,"Қарори Ҳукумати Ҷумҳурии Тоҷикистон аз 26 феврали соли 2026, №98",False,,,Тоҷикӣ / Форсӣ,,
tj_f_adiba_8,8,female,Женский,Духтарона,А,Адиба,Адиба,Adiba,АДИБА,АДИБА,ADIBA,True,"Қарори Ҳукумати Ҷумҳурии Тоҷикистон аз 26 феврали соли 2026, №98",True,adeeba,"Образованная, литературная женщина, воспитанная",Арабское,образованная; утончённая; литературная; культурная; элегантная,"Женская форма от أَدِيب (адиб) — «образованный, воспитанный, литератор». أَدِيبَة (адиба) — «женщина-литератор, воспитанная дама». В арабо-исламской культуре «адаб» (أدب) — понятие, включающее одновременно литературность, воспитанность и нравственное совершенство. Пророк учил: «Мой Господь воспитал меня наилучшим образом» (хадис, Байхаки). Среди арабских женщин-поэтесс и писательниц XIX–XX вв. имя Адиба стало символом интеллигентной мусульманки."
tj_f_adolat_9,9,female,Женский,Духтарона,А,Адолат,Адолат,Adolat,АДОЛАТ,АДОЛАТ,ADOLAT,True,"Қарори Ҳукумати Ҷумҳурии Тоҷикистон аз 26 феврали соли 2026, №98",False,,,Тоҷикӣ / Форсӣ,,
tj_f_adolatbonu_10,10,female,Женский,Духтарона,А,Адолатбону,Адолатбону,Adolatbonu,АДОЛАТБОНУ,АДОЛАТБОНУ,ADOLATBONU,True,"Қарори Ҳукумати Ҷумҳурии Тоҷикистон аз 26 феврали соли 2026, №98",False,,,Тоҷикӣ / Форсӣ,,
tj_f_adolatniso_11,11,female,Женский,Духтарона,А,Адолатнисо,Адолатнисо,Adolatniso,АДОЛАТНИСО,АДОЛАТНИСО,ADOLATNISO,True,"Қарори Ҳукумати Ҷумҳурии Тоҷикистон аз 26 феврали соли 2026, №98",False,,,Тоҷикӣ / Форсӣ,,
tj_f_adolatozin_12,12,female,Женский,Духтарона,А,Адолатозин,Адолатозин,Adolatozin,АДОЛАТОЗИН,АДОЛАТОЗИН,ADOLATOZIN,True,"Қарори Ҳукумати Ҷумҳурии Тоҷикистон аз 26 феврали соли 2026, №98",False,,,Тоҷикӣ / Форсӣ,,
tj_f_adolatoro_13,13,female,Женский,Духтарона,А,Адолаторо,Адолаторо,Adolatoro,АДОЛАТОРО,АДОЛАТОРО,ADOLATORO,True,"Қарори Ҳукумати Ҷумҳурии Тоҷикистон аз 26 феврали соли 2026, №98",False,,,Тоҷикӣ / Форсӣ,,
tj_f_azizmoh_14,14,female,Женский,Духтарона,А,Азизмоҳ,Азизмох,Azizmoh,АЗИЗМОҲ,АЗИЗМОХ,AZIZMOH,True,"Қарори Ҳукумати Ҷумҳурии Тоҷикистон аз 26 феврали соли 2026, №98",False,,,Тоҷикӣ / Форсӣ,,
tj_f_alima_15,15,female,Женский,Духтарона,А,Алима,Алима,Alima,АЛИМА,АЛИМА,ALIMA,True,"Қарори Ҳукумати Ҷумҳурии Тоҷикистон аз 26 феврали соли 2026, №98",False,,,Тоҷикӣ / Форсӣ,,
tj_f_amida_16,16,female,Женский,Духтарона,А,Амида,Амида,Amida,АМИДА,АМИДА,AMIDA,True,"Қарори Ҳукумати Ҷумҳурии Тоҷикистон аз 26 феврали соли 2026, №98",False,,,Тоҷикӣ / Форсӣ,,
tj_f_amina_17,17,female,Женский,Духтарона,А,Амина,Амина,Amina,АМИНА,АМИНА,AMINA,True,"Қарори Ҳукумати Ҷумҳурии Тоҷикистон аз 26 феврали соли 2026, №98",True,amina,"Надёжная, верная, правдивая",Арабское,добрая; нежная; верующая; надёжная,"Мать Пророка Мухаммада. Имя означает «та, которой можно доверять». Одно из самых популярных женских имён в мусульманском мире."
tj_f_anbar_18,18,female,Женский,Духтарона,А,Анбар,Анбар,Anbar,АНБАР,АНБАР,ANBAR,True,"Қарори Ҳукумати Ҷумҳурии Тоҷикистон аз 26 феврали соли 2026, №98",True,anbar,"Амбра, благовоние (из кашалота)",Арабское,ароматная; редкая; ценная; притягательная; нежная,"Арабское عَنْبَر (анбар) — «серая амбра» (вещество, выделяемое кашалотом), редчайшее и дорогейшее благовоние древнего мира. В арабо-исламской медицине анбар применялся как стимулирующее и укрепляющее средство; Ибн Сина описывал его в «Каноне врачебной науки». В поэзии аль-Мутанабби аромат анбары — образ чарующей женской красоты. Торговля амброй была важной частью исламского торгового пути через Индийский океан."
tj_f_anbarafzo_19,19,female,Женский,Духтарона,А,Анбарафзо,Анбарафзо,Anbarafzo,АНБАРАФЗО,АНБАРАФЗО,ANBARAFZO,True,"Қарори Ҳукумати Ҷумҳурии Тоҷикистон аз 26 феврали соли 2026, №98",False,,,Тоҷикӣ / Форсӣ,,
tj_f_anbarafzun_20,20,female,Женский,Духтарона,А,Анбарафзун,Анбарафзун,Anbarafzun,АНБАРАФЗУН,АНБАРАФЗУН,ANBARAFZUN,True,"Қарори Ҳукумати Ҷумҳурии Тоҷикистон аз 26 феврали соли 2026, №98",False,,,Тоҷикӣ / Форсӣ,,
tj_f_anbargesu_21,21,female,Женский,Духтарона,А,Анбаргесу,Анбаргесу,Anbargesu,АНБАРГЕСУ,АНБАРГЕСУ,ANBARGESU,True,"Қарори Ҳукумати Ҷумҳурии Тоҷикистон аз 26 феврали соли 2026, №98",False,,,Тоҷикӣ / Форсӣ,,
tj_f_anbarin_22,22,female,Женский,Духтарона,А,Анбарин,Анбарин,Anbarin,АНБАРИН,АНБАРИН,ANBARIN,True,"Қарори Ҳукумати Ҷумҳурии Тоҷикистон аз 26 феврали соли 2026, №98",False,,,Тоҷикӣ / Форсӣ,,
tj_f_anbarogin_23,23,female,Женский,Духтарона,А,Анбарогин,Анбарогин,Anbarogin,АНБАРОГИН,АНБАРОГИН,ANBAROGIN,True,"Қарори Ҳукумати Ҷумҳурии Тоҷикистон аз 26 феврали соли 2026, №98",False,,,Тоҷикӣ / Форсӣ,,
tj_f_anbaroyin_24,24,female,Женский,Духтарона,А,Анбаройин,Анбаройин,Anbaroyin,АНБАРОЙИН,АНБАРОЙИН,ANBAROYIN,True,"Қарори Ҳукумати Ҷумҳурии Тоҷикистон аз 26 феврали соли 2026, №98",False,,,Тоҷикӣ / Форсӣ,,
tj_f_anbaroro_25,25,female,Женский,Духтарона,А,Анбароро,Анбароро,Anbaroro,АНБАРОРО,АНБАРОРО,ANBARORO,True,"Қарори Ҳукумати Ҷумҳурии Тоҷикистон аз 26 феврали соли 2026, №98",False,,,Тоҷикӣ / Форсӣ,,
tj_f_anbaroso_26,26,female,Женский,Духтарона,А,Анбаросо,Анбаросо,Anbaroso,АНБАРОСО,АНБАРОСО,ANBAROSO,True,"Қарори Ҳукумати Ҷумҳурии Тоҷикистон аз 26 феврали соли 2026, №98",False,,,Тоҷикӣ / Форсӣ,,
